# citation-audit v1 baseline -- the count-of-record for .lean citations.
#
# Three roles, three rules (see the module docstring):
#   rows          gating. Ratcheted per (class, target, token); a count may only
#                 fall. first_line is payload and is not part of the key. SELFREF
#                 rows are advisory: they never gate an audit run's exit code,
#                 though --update-baseline refuses a rise in any row, this class
#                 included.
#   #census       per-class counts: derived book-keeping, refreshed on update.
#                 They are NOT pinned against the live documents -- an equality
#                 pin there freezes the documents instead of the extractor. The
#                 extractor is pinned on scripts/audit/citation_corpus/ instead.
#   #census       citations/raw: the per-run deletion budget (R11). A target that
#                 loses more than max(25, 5%) of its committed citations fails
#                 hard, because the ratchet cannot tell a deleted citation from a
#                 fixed one. The budget is recomputed from this file on every
#                 update, so it bounds one run and not the total; the total is
#                 bounded by R12 against MEASURED_CITATIONS, a constant in
#                 scripts/citation_audit.py that no run rewrites.
#
# Update with:
#   python3 scripts/citation_audit.py --update-baseline scripts/audit/citation_baseline.tsv
# which refuses to raise any key's count against the strictest committed copy,
# refuses a drop past the budget or the cumulative cap, and refuses to run at all
# where those committed copies cannot be read (a shallow clone, or a partial one
# that holds trees without blobs), where fewer than two commits carry this file
# (a baseline created on a branch and not landed yet, or a stale fetch: the only
# reference left is then the branch's own last write), or where one of those
# copies' trees spells this path some other way (a mis-cased spelling names bytes
# no tree lists, and a path outside the repository is not a tracked path at all).
# The file is written by replacing the resolved path with a temporary file whose
# own name is taken with O_EXCL next to it, so neither a hard link to these bytes
# nor a pre-created temporary is written through. What the refusals leave is a
# hand edit of this file or of the constants, and -- for a path no commit carries
# any more -- removing the commit that created it; each of those is a loud diff,
# and that is the point.
#
# PR #5043 moves axiom/status prose from ``docs/index.md`` to the explicitly
# registered ``docs/status.md`` target. Its BASENAME_ONLY row is a path-key
# migration, not a new citation finding. Index rows are re-emitted at their new
# line payloads and may only retain or lower committed gating counts;
# pre-existing advisory SELFREF growth remains unpinned rather than being
# laundered into this baseline.
#tracked	1921
#census	docs/index.md	2812	2752	RESOLVED=2121,AMBIGUOUS=84,BASENAME_ONLY=607,SELFREF=82
#census	docs/status.md	13	13	RESOLVED=12,BASENAME_ONLY=1,SELFREF=0
class	target	token	count	first_line
AMBIGUOUS	docs/index.md	Analyticity.lean	2	1839
AMBIGUOUS	docs/index.md	Basic.lean	1	883
AMBIGUOUS	docs/index.md	BetaDerivative.lean	17	1449
AMBIGUOUS	docs/index.md	FieldDerivative.lean	7	1449
AMBIGUOUS	docs/index.md	FreeEnergy.lean	21	59
AMBIGUOUS	docs/index.md	HighTemperatureBounds.lean	1	1844
AMBIGUOUS	docs/index.md	InfiniteVolume.lean	9	51
AMBIGUOUS	docs/index.md	JDerivative.lean	7	1449
AMBIGUOUS	docs/index.md	Lattice.lean	4	1198
AMBIGUOUS	docs/index.md	Magnetization.lean	4	1048
AMBIGUOUS	docs/index.md	Peierls.lean	3	560
AMBIGUOUS	docs/index.md	TwoPoint.lean	8	1010
BASENAME_ONLY	docs/index.md	AlternatingFinThree.lean	1	1769
BASENAME_ONLY	docs/index.md	AmbientComplexAnalyticity.lean	91	224
BASENAME_ONLY	docs/index.md	AmbientLattice.lean	31	51
BASENAME_ONLY	docs/index.md	AmbientLatticeSum.lean	19	124
BASENAME_ONLY	docs/index.md	Asano.lean	1	222
BASENAME_ONLY	docs/index.md	AvoidingDeleteEdges.lean	1	1747
BASENAME_ONLY	docs/index.md	BallBoundaryInfinite.lean	1	1719
BASENAME_ONLY	docs/index.md	BondConnectivityBridge.lean	1	597
BASENAME_ONLY	docs/index.md	BondFilledEdgeConnected.lean	1	598
BASENAME_ONLY	docs/index.md	BoundaryDart.lean	1	658
BASENAME_ONLY	docs/index.md	BoxBridge.lean	1	623
BASENAME_ONLY	docs/index.md	CEConditionalCapstone.lean	8	1839
BASENAME_ONLY	docs/index.md	CapstoneIncrementFromComplexBound.lean	1	167
BASENAME_ONLY	docs/index.md	CauchyDerivativeBridge.lean	1	178
BASENAME_ONLY	docs/index.md	ClusterExpansion.lean	5	1620
BASENAME_ONLY	docs/index.md	ComparisonTheorem.lean	1	1353
BASENAME_ONLY	docs/index.md	ComplConnected.lean	1	574
BASENAME_ONLY	docs/index.md	ComplexAnalyticity.lean	28	217
BASENAME_ONLY	docs/index.md	ComplexIsingPoly.lean	1	1063
BASENAME_ONLY	docs/index.md	Conditioning.lean	4	691
BASENAME_ONLY	docs/index.md	ConnectedDroplet.lean	1	566
BASENAME_ONLY	docs/index.md	ContourCount.lean	1	614
BASENAME_ONLY	docs/index.md	ContourCountAssembly.lean	1	650
BASENAME_ONLY	docs/index.md	ContourCountCover.lean	1	649
BASENAME_ONLY	docs/index.md	ContourEven.lean	1	656
BASENAME_ONLY	docs/index.md	ContourInjective.lean	1	625
BASENAME_ONLY	docs/index.md	CorrelationAlongExhaustionDeriv.lean	2	168
BASENAME_ONLY	docs/index.md	CorrelationDerivativeIncrementBridge.lean	1	177
BASENAME_ONLY	docs/index.md	CouplingDerivative.lean	1	1718
BASENAME_ONLY	docs/index.md	CubicBoxBoundaryShell.lean	1	647
BASENAME_ONLY	docs/index.md	CubicBoxExtremalCoincidence.lean	1	1350
BASENAME_ONLY	docs/index.md	CubicBoxFreeLimit.lean	2	1350
BASENAME_ONLY	docs/index.md	CubicBoxPreconnected.lean	1	646
BASENAME_ONLY	docs/index.md	CubicBoxShellConnected.lean	1	648
BASENAME_ONLY	docs/index.md	CubicDerivativeProfileInfiniteVolume.lean	2	149
BASENAME_ONLY	docs/index.md	CubicDerivativeProfileLebowitz.lean	1	148
BASENAME_ONLY	docs/index.md	CubicExhaustion.lean	1	1709
BASENAME_ONLY	docs/index.md	CubicLayerCylinder.lean	1	1253
BASENAME_ONLY	docs/index.md	CubicLayerOpenBoxTransport.lean	1	1290
BASENAME_ONLY	docs/index.md	CubicPerStageIncrement.lean	3	141
BASENAME_ONLY	docs/index.md	CubicPseudoMassClusterSummability.lean	2	1466
BASENAME_ONLY	docs/index.md	CubicPseudoMassNamedRate.lean	4	1462
BASENAME_ONLY	docs/index.md	CubicShellDecaySum.lean	6	144
BASENAME_ONLY	docs/index.md	CubicShellInfiniteVolumeBound.lean	3	142
BASENAME_ONLY	docs/index.md	CubicUrsellShellSum.lean	1	186
BASENAME_ONLY	docs/index.md	CutCrossingParity.lean	1	569
BASENAME_ONLY	docs/index.md	CutDeterminesRegion.lean	1	651
BASENAME_ONLY	docs/index.md	DartBijection.lean	1	663
BASENAME_ONLY	docs/index.md	DartBijective.lean	1	664
BASENAME_ONLY	docs/index.md	DartCutChar.lean	1	619
BASENAME_ONLY	docs/index.md	DartDualComponentBoxEulerian.lean	1	587
BASENAME_ONLY	docs/index.md	DartDualComponentBoxIncidentEven.lean	1	588
BASENAME_ONLY	docs/index.md	DartDualComponentEulerian.lean	1	584
BASENAME_ONLY	docs/index.md	DartDualComponentImage.lean	1	582
BASENAME_ONLY	docs/index.md	DartDualCutCard.lean	1	610
